link,image_link,title,source,date,description
http://ct.moreover.com/?a=56796714310&p=1pl&v=1&x=6Utl3Qa5zDLV9B6BOcxtJQ,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/032/normal/yahoo_news.png?1369846922,Windows Are the No. 1 Human Threat to Birds – An Ecologist Shares Some Simple Steps to Reduce Collisions,Yahoo! News,21 May 2025,When wood thrushes arrive in northern Mississippi on their spring migration and begin to serenade my neighborhood with their…
http://ct.moreover.com/?a=56794424366&p=1pl&v=1&x=K32Mx77F3act8W3nhmAtNw,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/071/normal/the_conversation.png?1369846953,Windows Are the No. 1 Human Threat to Birds – An Ecologist Shares Some Simple Steps to Reduce Collisions,The Conversation,21 May 2025,When wood thrushes arrive in northern Mississippi on their spring migration and begin to serenade my neighborhood with their…
http://ct.moreover.com/?a=56025813747&p=1pl&v=1&x=e2lxgggmudmhRJKW9_OAFw,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/005/361/normal/8.PNG?1578555107,Do Any Animals Whistle? The “Whistling Dog” Dholes Do-Hoo-Hoo-Hoo,Iflscience,14 Feb 2025,And it's pretty haunting as predator vocalizations go.
http://ct.moreover.com/?a=55989962806&p=1pl&v=1&x=E8qWiryQOgRauIi7FiljRA,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/005/361/normal/8.PNG?1578555107,"Humpback Whale Song Follows Zipf’s Law, a Fundamental Law of Human Language",Iflscience,10 Feb 2025,And some whales exhibit Menzerath’s law even more strongly than humans. Rachael Funnell Writer
http://ct.moreover.com/?a=55974159056&p=1pl&v=1&x=syrBgHddh0DtyAKJ4cA5Jw,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/032/normal/yahoo_news.png?1369846922,Whale Song Shows 'Hallmarks' of Human Language,Yahoo! News,08 Feb 2025,"There's a reason ""antidisestablishmentarianism"" is more a piece of trivia than vital to the English language."
http://ct.moreover.com/?a=55974123554&p=1pl&v=1&x=3FEYSG9SrDyh3nHtwOCM3Q,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/014/normal/cbc.png?1369846905,Whale Song Shows 'Hallmarks' of Human Language,CBC,08 Feb 2025,"New studies reveal structural similarities to human languages found in whale song There's a reason ""antidisestablishmentarianism…"
http://ct.moreover.com/?a=55965569851&p=1pl&v=1&x=NTLMS7R6lX0S24iLbtHLPA,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/093/normal/image.png?1369859467,Whale Songs Follow the Laws of Human Languages,El País,07 Feb 2025,Two studies reveal that the communication systems of most cetaceans examined adhere to the principles of efficiency and economy…
http://ct.moreover.com/?a=55959805489&p=1pl&v=1&x=lak1cGWutHxOP1lB_3j8kw,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/003/362/normal/rnz.PNG?1568801895,Whale Songs Follow 'A Lot of the Same Rules' as Human Language,RNZ,06 Feb 2025,"By Jacinta Bowler, ABC Across just a few weeks, complex, never-before-heard melodies sung by humpback whales can spread across…"
http://ct.moreover.com/?a=55959802259&p=1pl&v=1&x=ZvtBBZx6rcyFDhF2xP7ZAg,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/101/normal/scientific_american.png?1369846970,Whale Songs Obey Basic Rules of Human Languages,Scientific American,06 Feb 2025,"For all the worlds linguistic diversity, human languages still obey some universal patterns."
http://ct.moreover.com/?a=55960221508&p=1pl&v=1&x=T39_VsCJYSzaka5o-zccXg,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/038/normal/new_scientist.png?1369846929,Humpback Whale Songs Have Patterns That Resemble Human Language,New Scientist,06 Feb 2025,Humpback whale songs have statistical patterns in their structure that are remarkably similar to those seen in human language.
https://www.nytimes.com/2025/02/06/science/language-humpback-whale-song.html,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/022/normal/image.png?1369859672,All Languages Follow This Pattern. So Does Humpback Whale Song.,New York Times,06 Feb 2025,"The animals’ complex songs share structural patterns with human language that may make them easier for whales to learn, a new…"
http://ct.moreover.com/?a=55959587898&p=1pl&v=1&x=FYD_0LwENd8sw4_YgDCSpw,https://s3.amazonaws.com/weyland.altmetric.com/news_sources/logos/000/000/139/normal/image.png?1369925136,Whale Songs Follow 'A Lot of the Same Rules' as Human Language,ABC.net.au,06 Feb 2025,"Across just a few weeks, complex, never-before-heard melodies sung by humpback whales can spread across thousands of kilometres…"
